Date,Route,Rating,Notes,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code,Country,State,Numeric Grade,Is_Onsight,Is_Flash,Is_Redpoint,Is_Fell_Hung,Is_Sport,Is_Trad,Is_Boulder,Is_Multipitch,Year,Month,Season,Is_Weekend,Session_ID,Days_Attempted,Was_First_Try,Is_Success,Is_Project,Crag,Area,Subarea,Grade_Category
2024-12-24,"Fear and Loathing, III",5.12a,"Absolutely 0 left in the tank. I really actually exhausted myself. 

This thing was probably money back in the day. Just WAY too greasy and gross now. It’s cool climbing, just gross from all the paws ",1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion,3.6,2,Lead,Fell/Hung,Sport,,70.0,6600,United States,Nevada,12a,False,False,False,True,True,False,False,False,2024,12,Winter,False,1,1,False,False,False,Wall of Confusion,Red Rocks,(04) Second Pullout (Calico II),5.12
2024-12-24,Desert Pickle,5.11c,40th pitch on day 4,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion,2.8,2,Lead,Onsight,Sport,,60.0,5200,United States,Nevada,11c,True,False,False,False,True,False,False,False,2024,12,Winter,False,1,1,True,True,False,Wall of Confusion,Red Rocks,(04) Second Pullout (Calico II),5.11
2024-12-24,American Sportsman,5.10b,,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion,2.6,2,Lead,Onsight,Sport,,50.0,2900,United States,Nevada,10b,True,False,False,False,True,False,False,False,2024,12,Winter,False,1,1,True,True,False,Wall of Confusion,Red Rocks,(04) Second Pullout (Calico II),5.10
2024-12-24,The Runaway,5.10b,,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion,2.2,1,Lead,Redpoint,Sport,,50.0,2900,United States,Nevada,10b,False,False,True,False,True,False,False,False,2024,12,Winter,False,1,2,False,True,False,Wall of Confusion,Red Rocks,(04) Second Pullout (Calico II),5.10
2024-12-23,The Prophet,5.12b,"37th pitch in 3 days. I CANNOT believe it! Glory to God! 

Great crag, can’t wait to try nirvana and Hotline!",1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag,3.7,4,Lead,Redpoint,Sport,,65.0,6900,United States,Nevada,12b,False,False,True,False,True,False,False,False,2024,12,Winter,False,1,1,False,True,False,Alternative Crag,Red Rocks,(01) Calico Basin,5.12
2024-12-23,The Prophet,5.12b,,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag,3.7,4,Lead,Fell/Hung,Sport,,65.0,6900,United States,Nevada,12b,False,False,False,True,True,False,False,False,2024,12,Winter,False,2,1,False,False,False,Alternative Crag,Red Rocks,(01) Calico Basin,5.12
2024-12-23,The Prophet,5.12b,Warmup. VERY FUN!,1,Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag,3.7,4,Lead,Fell/Hung,Sport,,65.0,6900,United States,Nevada,12b,False,False,False,True,True,False,False,False,2024,12,Winter,False,3,1,False,False,False,Alternative Crag,Red Rocks,(01) Calico Basin,5.12
2024-12-22,Patient Zero,5.10a,18th pitch of the day and 32 of 2 days haha,8,Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress,3.2,2,Lead,Onsight,Sport,,630.0,2600,United States,Nevada,10a,True,False,False,False,True,False,False,True,2024,12,Winter,True,1,1,True,True,False,Lake Mead Buttress,La Madre Range,Lake Mead Buttress,5.10
2024-12-22,Contagion,5.10a/b,In 3 pitches - fun! I linked first 2.5 with the 10b variation,6,Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress,3.5,3,Lead,Onsight,Sport,,700.0,2800,United States,Nevada,10a,True,False,False,False,True,False,False,True,2024,12,Winter,True,1,1,True,True,False,Lake Mead Buttress,La Madre Range,Lake Mead Buttress,5.10
2024-12-22,Killer Nano Robot Infection,5.12a,"One fall at first perma :( just simply didn’t read it right and sometimes that happens on first time up. Was following. Led 2 & 4. Onsighted everything except one move.

For 19th pitch of day, i went back and redpointed p1 - leading. MUCH more rewarding this way! 

This is honestly a really, really good route!! All the pitches are quite different, and the rock is great",4,Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress,4.0,4,Lead,Redpoint,Sport,,440.0,6600,United States,Nevada,12a,False,False,True,False,True,False,False,True,2024,12,Winter,True,1,1,False,True,False,Lake Mead Buttress,La Madre Range,Lake Mead Buttress,5.12
2024-12-21,The Ginger Buttress (full),5.10-,"With alex s - swing leads on this section. Rock actually starts off decent! Mocha pot is friable, but crack above is excellent. Once at offwidth and above, rock not so good. 9 hours car to car. Awesome summit & ginger cracks & blade runner are quite cool!",6,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress,3.0,2,Lead,Onsight,Trad,,1700.0,2700,United States,Nevada,10,True,False,False,False,False,True,False,True,2024,12,Winter,True,1,1,True,True,False,Ginger Buttress,Red Rocks,(11) Juniper Canyon,5.10
2024-12-21,Ginger Cracks,5.9,En route to full ginger buttress. With alex,5,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress,3.2,3,TR,,Trad,,900.0,2400,United States,Nevada,9,False,False,False,False,False,True,False,True,2024,12,Winter,True,1,1,False,False,False,Ginger Buttress,Red Rocks,(11) Juniper Canyon,5.9 and under
2024-12-21,Blade Runner (aka The Ginger Arête),5.10b PG13,Led - full ginger buttress with Alex ,3,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Ginger Buttress,3.7,4,Lead,Onsight,Trad,,350.0,2900,United States,Nevada,10b,True,False,False,False,False,True,False,True,2024,12,Winter,True,1,1,True,True,False,Ginger Buttress,Red Rocks,(11) Juniper Canyon,5.10
2024-12-15,Fight or Flight,5.12d,working the moves. didn't have enough time to try a redpoint go. Really great route. Best I've done in the gorge for sure. Excited to return,1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,4.0,4,Lead,Fell/Hung,Sport,5.12d,100.0,7500,United States,California,12d,False,False,False,True,True,False,False,False,2024,12,Winter,True,1,1,False,False,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.12
2024-12-15,Aunti Vigilante,5.10b,"awful, don't do again",1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,2.1,1,Lead,Onsight,Sport,,70.0,2900,United States,California,10b,True,False,False,False,True,False,False,False,2024,12,Winter,True,1,1,True,True,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.10
2024-12-15,Tickbait,5.11c,"meh bottom half, the upper headwall is excellent though! Good warmup for tower routes. Just leave belayer on ground unless you are going to whipping all over the place",1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,3.6,3,Lead,Onsight,Sport,,80.0,5200,United States,California,11c,True,False,False,False,True,False,False,False,2024,12,Winter,True,1,1,True,True,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.11
2024-12-15,Supersweet(Sweetie 2.0),5.8,best 5.9 in the gorge,1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,3.7,3,Lead,Onsight,Sport,,115.0,2100,United States,California,8,True,False,False,False,True,False,False,False,2024,12,Winter,True,1,1,True,True,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.9 and under
2024-12-13,Wings,5.12c,"2nd go. The first part through the finger crack is fine. The step across the chasm is kinda weird.

But the top half is $$$$$$. Really, really awesome top half of the route. Good rock, awesome position, and really cool climbing.

4/5 stars
5/5 for the top bit though! I really, really liked it",1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,4.0,4,Lead,Redpoint,Sport,5.12c,110.0,7200,United States,California,12c,False,False,True,False,True,False,False,False,2024,12,Winter,False,1,1,False,True,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.12
2024-12-13,Wings,5.12c,,1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,4.0,4,Lead,Fell/Hung,Sport,5.12c,110.0,7200,United States,California,12c,False,False,False,True,True,False,False,False,2024,12,Winter,False,2,1,False,False,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.12
2024-12-13,Love Me Easy,5.10b/c,Ok climbing but choss,1,California > Eastern Sierra > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room,3.3,1,Lead,Onsight,Sport,,110.0,3100,United States,California,10b,True,False,False,False,True,False,False,False,2024,12,Winter,False,1,1,True,True,False,Lower Elbow Room,Bishop Area,Owens River Gorge,5.10
